ParticipantID,Email,Topic 1,Condition 1,Session 1 Files,Survey 1,Exam 1,Topic 2,Condition 2,Session 2 Files,Survey 2,Exam 2,...13
pi5ub2,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
45dfx5,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
TxxT37,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
v2XRq2,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
On5WgQ,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
ZNU9l6,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
biPBq1,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
63tFTP,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
5YN6i0,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
2eXEJ0,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
V422Gd,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
1RJdR6,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,NA,[REDACTED],[REDACTED],NA
d4OFv9,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
hKpFTX,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
lQ647f,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
h76eW9,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
usgLCu,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
26Au9M,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
T3ku24,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
i3N3xD,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
9g0fXm,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
36A2cx,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
eL52QF,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
f66idi,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
70C9NN,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
y5lblN,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
Sw0Gm1,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
MZmMzJ,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
4LNSC2,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
4Zkc10,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
51XGeK,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
m5do5w,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
T7SLAc,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
EVxYQN,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
7x781Q,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
G1OMSf,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
0N5YAq,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
qsX38h,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
2dd2AY,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
051eD8,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
W1RZzp,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
703Jc6,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,NA,[REDACTED],[REDACTED],NA
39XPqH,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
w7177Q,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
ef1A5C,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
67t3iE,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
Un2nK7,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,NA,[REDACTED],[REDACTED],NA
t7Ox0z,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
5ZvErn,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
6yvm2M,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
C6n2No,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
7Bz5NM,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
cxqAlM,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
Z3o5ez,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
27Ujai,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
vTz3Zo,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
clQ8ls,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,NA,[REDACTED],[REDACTED],NA
gfLJb1,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
K5r7G8,[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],NA
8OdyKu,[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],NA
2o4QBB,[REDACTED],Metaphor,LLM,[REDACTED],[REDACTED],[REDACTED],Category,Alone,[REDACTED],[REDACTED],[REDACTED],NA
3HB38D,[REDACTED],Metaphor,Alone,[REDACTED],[REDACTED],[REDACTED],Category,LLM,[REDACTED],[REDACTED],[REDACTED],NA
