author,validity,frequency,semrush_monthly,semrush_total
Stephen King,real,1151,246000,2500000
Maya Angelou,real,487,135000,617300
Ernest Hemingway,real,728,110000,409700
Ayn Rand,real,1519,60500,178200
George Orwell,real,679,60500,345500
James Patterson,real,191,60500,490700
Toni Morrison,real,471,60500,240600
John Grisham,real,350,49500,303800
Kurt Vonnegut,real,302,49500,171500
Tom Clancy,real,379,49500,637300
Virginia Woolf,real,710,49500,300800
Harper Lee,real,213,40500,127600
Margaret Atwood,real,240,40500,154600
Nora Ephron,real,187,40500,86900
Ray Bradbury,real,283,40500,190900
Isaac Asimov,real,292,33100,164700
Isabel Allende,real,76,33100,102600
James Joyce,real,514,33100,180900
Ocean Vuong,real,2,33100,63200
Alice Walker,real,370,27100,111700
Ann Patchett,real,61,22200,74300
Jack London,real,358,22200,324300
Danielle Steel,real,155,18100,151400
Thomas Pynchon,real,145,18100,40500
Colson Whitehead,real,37,14800,35700
Gabriel Garcia Marquez,real,130,14800,61200
Kazuo Ishiguro,real,72,14800,53300
Chinua Achebe,real,101,12100,48200
Samuel Beckett,real,249,12100,58800
Ralph Ellison,real,173,9900,59900
Sue Grafton,real,50,9900,36000
Thomas Wolfe,real,113,9900,51700
Vladimir Nabokov,real,129,9900,27400
Willa Cather,real,165,9900,35400
Clive Cussler,real,57,8100,65400
John Irving,real,110,8100,55600
Raymond Chandler,real,202,8100,30300
J. R. R. Tolkien,real,,6600,42600
Jackie Collins,real,88,6600,26100
Junot Diaz,real,39,6600,26600
Howard Gardner,real,146,5400,47700
Paul Theroux,real,93,5400,14600
Saul Bellow,real,237,5400,20500
T. S. Eliot,real,,5400,46000
Anne McCaffrey,real,39,4400,20200
David Perry,neutral,44,4400,36500
J. D. Salinger,real,,4400,19600
James Michener,real,70,4400,40500
Katherine Carpenter,fake,1,4400,5500
James Morgan,neutral,27,3600,46800
Robert Ludlum,real,62,3600,19000
Roberto Bolaño,real,6,3600,83500
Salmon Rushdie,real,10,2900,3600
N. K. Jemisin,real,,2400,13600
E. B. White,real,,1900,12400
Martin Ford,real,12,1900,25200
Maxine Hong Kingston,real,60,1900,6300
Jane Smiley,real,70,1600,7700
Michael Ondaatje,real,47,1600,6800
Bernard Malamud,real,35,1000,4800
David Singer,neutral,36,1000,59400
Dick Francis,real,25,1000,2600
Jean M. Auel,real,7,720,4900
Ann Beattie,real,37,590,3700
Judith Krantz,real,23,590,3300
Joyce Carol,neutral,188,480,62900
Lilly Jack,fake,0,320,38100
Mark Strauss,real,2,320,2100
Christopher Barr,fake,4,170,890
Denise Daniels,neutral,4,170,2700
Mimi Hall,fake,15,110,1100
Robert Siegler,fake,0,110,380
Frank Gresham,neutral,2,90,210
Scott Paris,fake,3,90,6700
Geraldine Dawson,neutral,8,30,110
Lauren Benjamin,fake,0,30,580
Thomas Bever,fake,3,30,2200
Alex Lumsden,neutral,0,20,20
Caleb Lim,fake,0,20,80
Dale Blyth,neutral,155,20,120
Edward Cornell,fake,0,20,280
Eric Amsel,fake,2,20,20
Frank Kiel,fake,0,20,40
Frank Manis,neutral,0,20,18400
Gary Beauchamp,fake,7,20,150
Jennifer Butterworth,fake,0,20,20
John Condry,fake,0,20,40
Lynn Liben,fake,1,20,1400
Margarita Azmitia,neutral,0,20,20
Morton Mendelson,fake,0,20,30
Nicole Waugh,fake,0,20,40
Peter Rigg,fake,0,20,250
Reuben Baron,fake,0,20,70
Richard Passman,fake,0,20,20
Robert Inness,fake,0,20,409400
Samuel Paige,fake,0,20,100
Sheryl Green,fake,0,20,320
Suzanne Clarkson,fake,0,20,20
T. C. Boyle,real,,20,2100
Carl Corter,fake,0,10,4000
Umberto Eco,real,139,10,2600
Allister Younger,fake,0,0,0
Ava Wight,fake,0,0,0
Carla Grinton,fake,0,0,0
Charles Condie,fake,0,0,0
Elliot Blass,fake,1,0,0
F. H. Lytton,fake,,0,0
F. Scott Fitzgerald,real,,0,0
H. H. Boldt,fake,,0,0
Hilda Borko,fake,0,0,0
J. J. Anvari,fake,,0,0
Janice Taught,fake,0,0,0
Julia Connerty,fake,0,0,0
K. Warner Schaie,neutral,,0,180
Kirby Kavanagh,fake,0,0,0
L. S. Yussen,fake,,0,0
Lauren Adamson,fake,1,0,0
Miriam Sexton,fake,1,0,0
Naomi Choy,fake,0,0,0
Oscar Barbarian,fake,0,0,0
Pricilla Levy,fake,0,0,0
Stirling King,fake,0,0,980
Susan Kormer,fake,0,0,0
Tracy Tomes,fake,0,0,0
W. Patrick Dickson,fake,,0,0
Robert Emery,fake,9,,930
