# resp_long: LLM background survey responses in long format | Generated: 2026-04-07 17:14
# 101 respondents x 66 items | Total rows: 6666
# submission_status values:
#   unique     - single complete submission for this pid
#   first-dup  - earlier of two complete submissions (keep second-dup for analysis)
#   second-dup - later of two complete submissions
#   incomplete - unfinished submission (finished = FALSE)
# Duplicate complete submissions (3 pids): 6jfSCh, 9g0fXm, NA
# Incomplete submissions (5 pids): 51XGeK, H254QA, lQ647f, y5lblN, NA
1,"pi5ub2","m","q2","pi5ub2","QID1321593225",,"Participant ID","TE","ML",,"Q2",,,"Participant ID","pi5ub2","pi5ub2",,"pi5ub2","pi5ub2","Participant ID",,"unique"
1,"pi5ub2","m","q3","REDACTED","QID1321593226",,"Email Address","TE","ML",,"Q3",,,"Email Address","REDACTED","REDACTED",,"REDACTED","REDACTED","Email Address",,"unique"
1,"pi5ub2","m","q1_1","Rarely","QID1321593224",1,"Welcome to the post-activity survey. You will answer a few questions about your experience reading and writing, which should take approximately ten minutes. When you finish this survey, you will be finished with today's session.<br><br>Your email address and random participant ID should show up automatically below: you do not need to alter those fields. <br><br>Please let the RA know if they are empty. Otherwise, press the button to continue.","DB","TB",,"Q1",1,,"Welcome to the post-activity survey. You will answer a few questions about your experience reading and writing, which should take approximately ten minutes. When you finish this survey, you will be finished with today's session.<br><br>Your email address and random participant ID should show up automatically below: you do not need to alter those fields. <br><br>Please let the RA know if they are empty. Otherwise, press the button to continue.","Rarely","Rarely",,"Rarely","Rarely","Welcome to the post-activity survey. You will answer a few questions about your experience reading and writing, which should take approximately ten minutes. When you finish this survey, you will be finished with today's session.<br><br>Your email address and random participant ID should show up automatically below: you do not need to alter those fields. <br><br>Please let the RA know if they are empty. Otherwise, press the button to continue.",,"unique"
1,"pi5ub2","m","q2_23_1","5
Strongly agree
","QID1",1,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",1,"I understand generative AI technologies like ChatGPT have limitations in their ability to handle complex tasks.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I understand generative AI technologies like ChatGPT have limitations in their ability to handle complex tasks.","5
Strongly agree
","5 Strongly agree",5,"Strongly agree","<div style=""text-align: center;"">5<br /> Strongly agree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I understand generative AI technologies like ChatGPT have limitations in their ability to handle complex tasks.","unique"
1,"pi5ub2","m","q2_23_2","5
Strongly agree
","QID1",2,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",2,"I understand generative AI technologies like ChatGPT can generate output that is factually inaccurate.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I understand generative AI technologies like ChatGPT can generate output that is factually inaccurate.","5
Strongly agree
","5 Strongly agree",5,"Strongly agree","<div style=""text-align: center;"">5<br /> Strongly agree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I understand generative AI technologies like ChatGPT can generate output that is factually inaccurate.","unique"
1,"pi5ub2","m","q2_23_3","5
Strongly agree
","QID1",3,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",3,"I understand generative AI technologies like ChatGPT can generate output that is out of context or inappropriate.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I understand generative AI technologies like ChatGPT can generate output that is out of context or inappropriate.","5
Strongly agree
","5 Strongly agree",5,"Strongly agree","<div style=""text-align: center;"">5<br /> Strongly agree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I understand generative AI technologies like ChatGPT can generate output that is out of context or inappropriate.","unique"
1,"pi5ub2","m","q2_23_4","5
Strongly agree
","QID1",4,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",4,"I understand generative AI technologies like ChatGPT can exhibit biases and unfairness in their output.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I understand generative AI technologies like ChatGPT can exhibit biases and unfairness in their output.","5
Strongly agree
","5 Strongly agree",5,"Strongly agree","<div style=""text-align: center;"">5<br /> Strongly agree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I understand generative AI technologies like ChatGPT can exhibit biases and unfairness in their output.","unique"
1,"pi5ub2","m","q2_23_5","5
Strongly agree
","QID1",5,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",5,"I understand generative AI technologies like ChatGPT have limited emotional intelligence and empathy, which can lead to output that is insensitive or inappropriate.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I understand generative AI technologies like ChatGPT have limited emotional intelligence and empathy, which can lead to output that is insensitive or inappropriate.","5
Strongly agree
","5 Strongly agree",5,"Strongly agree","<div style=""text-align: center;"">5<br /> Strongly agree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I understand generative AI technologies like ChatGPT have limited emotional intelligence and empathy, which can lead to output that is insensitive or inappropriate.","unique"
1,"pi5ub2","m","q2_23_6","3
Neither agree nor disagree
","QID1",6,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",6,"Students must learn how to use generative AI technologies well for their career.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - Students must learn how to use generative AI technologies well for their career.","3
Neither agree nor disagree
","3 Neither agree nor disagree",3,"Neither agree nor disagree","<div style=""text-align: center;"">3<br /> Neither agree nor disagree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Students must learn how to use generative AI technologies well for their career.","unique"
1,"pi5ub2","m","q2_23_7","4

Agree
","QID1",7,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",7,"I believe generative AI technologies such as ChatGPT can improve my digital competence.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I believe generative AI technologies such as ChatGPT can improve my digital competence.","4

Agree
","4 Agree",4,"Agree","<div style=""text-align: center;"">4</div> <div style=""text-align: center;"">Agree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I believe generative AI technologies such as ChatGPT can improve my digital competence.","unique"
1,"pi5ub2","m","q2_23_8","3
Neither agree nor disagree
","QID1",8,"For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","Matrix","Likert","SingleAnswer","Q2-23",8,"I believe generative AI technologies such as ChatGPT can improve my overall academic performance.","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). - I believe generative AI technologies such as ChatGPT can improve my overall academic performance.","3
Neither agree nor disagree
","3 Neither agree nor disagree",3,"Neither agree nor disagree","<div style=""text-align: center;"">3<br /> Neither agree nor disagree</div>","For the following statements, please indicate the extent to which you agree or disagree by selecting one of the options ranging from 1 (Strongly Disagree) to 5 (Strongly Agree).","I believe generative AI technologies such as ChatGPT can improve my overall academic performance.","unique"
